Package	Required_version	filename	downloadlink
collapsibleTree	0.1.6	collapsibleTree_0.1.6.tar.gz	https://cran.r-project.org/src/contrib/Archive/collapsibleTree/collapsibleTree_0.1.6.tar.gz
colorRamps	2.3	colorRamps_2.3.tar.gz	https://cran.r-project.org/src/contrib/Archive/colorRamps/colorRamps_2.3.tar.gz
colorspace	1.3-2	colorspace_1.3-2.tar.gz	https://cran.r-project.org/src/contrib/Archive/colorspace/colorspace_1.3-2.tar.gz
colourpicker	1.0	colourpicker_1.0.tar.gz	https://cran.r-project.org/src/contrib/Archive/colourpicker/colourpicker_1.0.tar.gz
combinat	0.0-8	combinat_0.0-8.tar.gz	https://cran.r-project.org/src/contrib/Archive/combinat/combinat_0.0-8.tar.gz
commonmark	1.4	commonmark_1.4.tar.gz	https://cran.r-project.org/src/contrib/Archive/commonmark/commonmark_1.4.tar.gz
compiler	3.4.4	compiler_3.4.4.tar.gz	https://cran.r-project.org/src/contrib/Archive/compiler/compiler_3.4.4.tar.gz
compositions	1.40-1	compositions_1.40-1.tar.gz	https://cran.r-project.org/src/contrib/Archive/compositions/compositions_1.40-1.tar.gz
CORElearn	1.52.0	CORElearn_1.52.0.tar.gz	https://cran.r-project.org/src/contrib/Archive/CORElearn/CORElearn_1.52.0.tar.gz
corpcor	1.6.9	corpcor_1.6.9.tar.gz	https://cran.r-project.org/src/contrib/Archive/corpcor/corpcor_1.6.9.tar.gz
corrgram	1.12	corrgram_1.12.tar.gz	https://cran.r-project.org/src/contrib/Archive/corrgram/corrgram_1.12.tar.gz
corrplot	0.84	corrplot_0.84.tar.gz	https://cran.r-project.org/src/contrib/Archive/corrplot/corrplot_0.84.tar.gz
covr	3.0.1	covr_3.0.1.tar.gz	https://cran.r-project.org/src/contrib/Archive/covr/covr_3.0.1.tar.gz
cowplot	0.9.2	cowplot_0.9.2.tar.gz	https://cran.r-project.org/src/contrib/Archive/cowplot/cowplot_0.9.2.tar.gz
cplm	0.7-5	cplm_0.7-5.tar.gz	https://cran.r-project.org/src/contrib/Archive/cplm/cplm_0.7-5.tar.gz
cpp11	0.4.2	cpp11_0.4.2.tar.gz	https://cran.r-project.org/src/contrib/Archive/cpp11/cpp11_0.4.2.tar.gz
crayon	1.3.4	crayon_1.3.4.tar.gz	https://cran.r-project.org/src/contrib/Archive/crayon/crayon_1.3.4.tar.gz
crosstalk	1.0.0	crosstalk_1.0.0.tar.gz	https://cran.r-project.org/src/contrib/Archive/crosstalk/crosstalk_1.0.0.tar.gz
cslogistic	0.1-3	cslogistic_0.1-3.tar.gz	https://cran.r-project.org/src/contrib/Archive/cslogistic/cslogistic_0.1-3.tar.gz
